               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11778,            0.065454,                   0,           0.0074603,            0.086636,           0.0073549,           0.0023071,             0.10265,            0.072516,                   0,              0.0721,              0.0031,              0.0031
                   1,             0.10455,            0.065303,                   0,            0.073951,             0.22765,            0.042389,            0.010097,            0.095162,            0.085836,                   0,            0.043196,           0.0061961,           0.0061961
                   2,            0.095659,            0.059102,                   0,              0.0622,             0.22949,            0.034642,           0.0073586,             0.09016,            0.067789,                   0,            0.014186,           0.0091865,           0.0091865
                   3,            0.092241,            0.061125,                   0,             0.11868,             0.38157,            0.090348,             0.02181,              0.0894,            0.065751,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.080353,            0.063849,                   0,             0.26932,             0.40276,             0.21279,            0.048925,            0.080946,            0.076967,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.076578,            0.065633,                   0,             0.35028,             0.53548,             0.37024,            0.099457,            0.071488,            0.070084,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.073528,            0.066297,                   0,             0.41623,             0.54871,              0.3843,             0.09565,             0.06692,            0.069054,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.072118,            0.067634,                   0,             0.50439,             0.60829,             0.46707,             0.11524,             0.06278,            0.068951,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.068002,            0.067452,                   0,              0.4579,             0.54184,             0.37427,            0.088699,            0.065304,             0.07051,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.067724,            0.065523,                   0,             0.61432,             0.69493,              0.6101,             0.15776,            0.059107,            0.065543,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.067757,            0.064967,                   0,             0.63018,             0.63292,             0.62349,             0.16593,            0.060688,            0.064712,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.064419,            0.064777,                   0,             0.63699,               0.647,             0.60583,              0.1591,             0.06043,            0.064285,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.065155,            0.066805,                   0,             0.64466,             0.66213,             0.63576,               0.169,            0.057708,            0.063374,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.064598,            0.064418,                   0,             0.69069,             0.67916,             0.68024,             0.19408,            0.058425,            0.062697,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.062672,            0.065135,                   0,             0.69904,             0.71429,             0.70549,              0.1992,            0.059777,            0.062116,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.063526,            0.062524,                   0,             0.63023,             0.67233,             0.62576,             0.16695,            0.058639,             0.06556,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.060812,            0.066389,                   0,             0.64857,             0.66506,             0.64616,             0.17514,            0.058422,            0.064141,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.061732,            0.064799,                   0,             0.64916,             0.69493,             0.65648,             0.18289,            0.055879,            0.064235,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.061272,            0.064612,                   0,             0.62263,             0.65346,             0.59739,             0.16198,             0.05756,            0.063787,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.059355,            0.064866,                   0,             0.69852,             0.71705,              0.7007,             0.20905,             0.05857,            0.062516,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.060366,            0.064892,                   0,             0.68084,             0.70191,             0.67022,             0.18768,            0.057265,            0.063715,                   0,            0.006865,            0.006865,            0.006865
                  21,             0.05865,            0.064935,                   0,             0.69778,             0.72776,              0.7004,             0.20082,             0.05504,            0.062966,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.058768,            0.066514,                   0,              0.6962,             0.66452,             0.67491,             0.19201,            0.055663,            0.062404,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.060429,            0.064669,                   0,             0.66794,             0.69891,             0.67401,              0.1832,            0.058154,            0.063647,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.060023,            0.066221,                   0,             0.68348,             0.70046,             0.66745,             0.17703,            0.056744,             0.06328,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.060758,            0.064574,                   0,               0.588,              0.6424,             0.57898,             0.14296,            0.058539,            0.065316,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.059895,             0.06491,                   0,             0.70084,             0.69124,              0.6833,             0.19356,            0.055145,            0.063199,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.056183,            0.064048,                   0,             0.68492,             0.69954,             0.66717,             0.18781,            0.053786,             0.06292,                   0,             0.00571,             0.00571,             0.00571
                  28,            0.059053,            0.064837,                   0,              0.6953,             0.73733,             0.70765,             0.19735,            0.056929,            0.062944,                   0,            0.005545,            0.005545,            0.005545
